Entity,Day,Data
Africa,2021-05-19,25872522
Africa,2021-05-20,26037314
Africa,2021-05-21,26199408
Africa,2021-05-22,26293584
Africa,2021-05-23,26391844
Africa,2021-05-24,26498164
Africa,2021-05-25,26744994
Africa,2021-05-26,26961690
Africa,2021-05-27,27172360
Africa,2021-05-28,27391808
Africa,2021-05-29,27612640
Africa,2021-05-30,27833214
Africa,2021-05-31,28047986
Africa,2021-06-01,28325374
Africa,2021-06-02,28580254
Africa,2021-06-03,28829306
Africa,2021-06-04,29010964
Africa,2021-06-05,29176310
Africa,2021-06-06,29442536
Africa,2021-06-07,29705414
Africa,2021-06-08,30136766
Africa,2021-06-09,30538360
Africa,2021-06-10,30903080
Africa,2021-06-11,31238620
Africa,2021-06-12,31424814
Africa,2021-06-13,31705036
Africa,2021-06-14,31977372
Africa,2021-06-15,32303096
Africa,2021-06-16,32582334
Africa,2021-06-17,32899474
Africa,2021-06-18,33183890
Africa,2021-06-19,33359758
Africa,2021-06-20,33630340
Africa,2021-06-21,33906144
Africa,2021-06-22,34089996
Africa,2021-06-23,34276996
Africa,2021-06-24,34527616
Africa,2021-06-25,34809060
Africa,2021-06-26,35005836
Africa,2021-06-27,35213412
Africa,2021-06-28,35425004
Africa,2021-06-29,35687590
Africa,2021-06-30,35931464
Africa,2021-07-01,36115696
Africa,2021-07-02,36279184
Africa,2021-07-03,36417252
Africa,2021-07-04,36599190
Africa,2021-07-05,36768348
Africa,2021-07-06,36905216
Africa,2021-07-07,37039080
Africa,2021-07-08,37172772
Africa,2021-07-09,37452136
Africa,2021-07-10,37647930
Africa,2021-07-11,37862510
Africa,2021-07-12,38183256
Africa,2021-07-13,38476096
Africa,2021-07-14,38789310
Africa,2021-07-15,39169300
Africa,2021-07-16,39297890
Africa,2021-07-17,39424096
Africa,2021-07-18,39535440
Africa,2021-07-19,39768188
Africa,2021-07-20,39979956
Africa,2021-07-21,40268600
Africa,2021-07-22,40574520
Africa,2021-07-23,40806000
Africa,2021-07-24,40924820
Africa,2021-07-25,41056092
Africa,2021-07-26,41398840
Africa,2021-07-27,41734948
Africa,2021-07-28,42126544
Africa,2021-07-29,42528692
Africa,2021-07-30,42761700
Africa,2021-07-31,42944900
Africa,2021-08-01,43110940
Africa,2021-08-02,43399564
Africa,2021-08-03,44085308
Africa,2021-08-04,44407644
Africa,2021-08-05,44749000
Africa,2021-08-06,45135244
Africa,2021-08-07,45408916
Africa,2021-08-08,45626610
Africa,2021-08-09,46026330
Africa,2021-08-10,46308268
Africa,2021-08-11,46763224
Africa,2021-08-12,47226396
Africa,2021-08-13,47531196
Africa,2021-08-14,47774080
Africa,2021-08-15,48027820
Africa,2021-08-16,48581030
Africa,2021-08-17,49396060
Africa,2021-08-18,50216428
Africa,2021-08-19,51039532
Africa,2021-08-20,51573110
Africa,2021-08-21,52042336
Africa,2021-08-22,52461600
Africa,2021-08-23,53272720
Africa,2021-08-24,54178476
Africa,2021-08-25,54985140
Africa,2021-08-26,55846444
Africa,2021-08-27,56707228
Africa,2021-08-28,57203610
Africa,2021-08-29,58247724
Africa,2021-08-30,58877656
Africa,2021-08-31,59585548
Africa,2021-09-01,60382704
Africa,2021-09-02,61026930
Africa,2021-09-03,61577948
Africa,2021-09-04,62395676
Africa,2021-09-05,62772220
Africa,2021-09-06,63622996
Africa,2021-09-07,64058900
Africa,2021-09-08,64456116
Africa,2021-09-09,65130756
Africa,2021-09-10,66058276
Africa,2021-09-11,67124900
Africa,2021-09-12,67795464
Africa,2021-09-13,68587280
Africa,2021-09-14,69414510
Africa,2021-09-15,70058890
Africa,2021-09-16,71287570
Africa,2021-09-17,71829470
Africa,2021-09-18,72359560
Africa,2021-09-19,72797570
Africa,2021-09-20,73318056
Africa,2021-09-21,73873910
Africa,2021-09-22,74458340
Africa,2021-09-23,75083750
Africa,2021-09-24,75808670
Africa,2021-09-25,76522104
Africa,2021-09-26,77339310
Africa,2021-09-27,78217570
Africa,2021-09-28,78740104
Africa,2021-09-29,79220510
Africa,2021-09-30,79696660
Africa,2021-10-01,80226600
Africa,2021-10-02,80735090
Africa,2021-10-03,81224490
Africa,2021-10-04,81787310
Africa,2021-10-05,82373780
Africa,2021-10-06,82966050
Africa,2021-10-07,83532630
Africa,2021-10-08,84066820
Africa,2021-10-09,84622760
Africa,2021-10-10,85154350
Africa,2021-10-11,85710260
Africa,2021-10-12,86349070
Africa,2021-10-13,87052940
Africa,2021-10-14,87716370
Africa,2021-10-15,88512710
Africa,2021-10-16,89193544
Africa,2021-10-17,89860184
Africa,2021-10-18,90580990
Africa,2021-10-19,91261340
Africa,2021-10-20,91894110
Africa,2021-10-21,92538504
Africa,2021-10-22,93214300
Africa,2021-10-23,93835336
Africa,2021-10-24,94655624
Africa,2021-10-25,95656760
Africa,2021-10-26,96658770
Africa,2021-10-27,97491930
Africa,2021-10-28,98314570
Africa,2021-10-29,99191370
Africa,2021-10-30,99828910
Africa,2021-10-31,100362440
Africa,2021-11-01,101009640
Africa,2021-11-02,101607110
Africa,2021-11-03,102145690
Africa,2021-11-04,102728856
Africa,2021-11-05,103244490
Africa,2021-11-06,103749230
Africa,2021-11-07,104462184
Africa,2021-11-08,105249060
Africa,2021-11-09,106047010
Africa,2021-11-10,106858320
Africa,2021-11-11,107878870
Africa,2021-11-12,108683420
Africa,2021-11-13,109440344
Africa,2021-11-14,110005840
Africa,2021-11-15,110679280
Africa,2021-11-16,111253970
Africa,2021-11-17,111821780
Africa,2021-11-18,112344750
Africa,2021-11-19,113002456
Africa,2021-11-20,113694850
Africa,2021-11-21,114532170
Africa,2021-11-22,115326410
Africa,2021-11-23,116054290
Africa,2021-11-24,116803240
Africa,2021-11-25,117540030
Africa,2021-11-26,118222710
Africa,2021-11-27,118806350
Africa,2021-11-28,119419350
Africa,2021-11-29,120201800
Africa,2021-11-30,120974664
Africa,2021-12-01,121750800
Africa,2021-12-02,122698920
Africa,2021-12-03,123779180
Africa,2021-12-04,124476840
Africa,2021-12-05,125087520
Africa,2021-12-06,125796090
